id,observed_on,description,latitude,longitude,scientific_name,common_name,image_url,Dead
74209018,17/04/2021,,-33.21770235,151.5922697,Ardenna pacifica,Wedge-tailed Shearwater,https://inaturalist-open-data.s3.amazonaws.com/photos/121259440/medium.jpeg,Y
99174822,22/10/2021,"Sooty shearwater - one dead Sooty shearwater was seen on a rock platform. Photo taken at Soldiers Point, Norah Head.",-33.290604,151.571731,Ardenna grisea,Sooty Shearwater,https://inaturalist-open-data.s3.amazonaws.com/photos/165271747/medium.jpeg,Y
99410520,25/10/2021,,-33.74201667,151.3175361,Ardenna tenuirostris,Short-tailed Shearwater,https://inaturalist-open-data.s3.amazonaws.com/photos/165708135/medium.jpeg,Y
99776466,30/10/2021,"Thought this poor thing might be a black cormorant, but AI and closer inspection suggests a shearwater. Was two of these dead on the beach.",-32.69141111,152.1890611,Ardenna,Southern Shearwaters,https://static.inaturalist.org/photos/166402487/medium.jpeg,Y
100292853,05/11/2021,Two deceased ,-35.01301285,150.8237467,Ardenna tenuirostris,Short-tailed Shearwater,https://inaturalist-open-data.s3.amazonaws.com/photos/167371749/medium.jpeg,Y
100292853,05/11/2021,Two deceased ,-35.01301285,150.8237467,Ardenna tenuirostris,Short-tailed Shearwater,https://inaturalist-open-data.s3.amazonaws.com/photos/167371749/medium.jpeg,Y
103117345,15/12/2021,,-33.64457,151.3288883,Ardenna,Southern Shearwaters,https://static.inaturalist.org/photos/172516595/medium.jpg,Y
103732185,27/12/2021,,-31.62068611,152.8350667,Ardenna,Southern Shearwaters,https://inaturalist-open-data.s3.amazonaws.com/photos/173681480/medium.jpeg,Y
104574391,06/01/2022,Taken by a friend.,-31.41265342,152.8921889,Ardenna pacifica,Wedge-tailed Shearwater,https://inaturalist-open-data.s3.amazonaws.com/photos/175255005/medium.jpeg,Y
144388660,14/12/2022,? app suggestion - see also other obs further along beach - this one did not have obvious wound visible,-35.288155,150.4807883,Ardenna,Southern Shearwaters,https://inaturalist-open-data.s3.amazonaws.com/photos/247802381/medium.jpg,Y
144389276,14/12/2022,also earlier obs of another.. this one appeared to have a wound.. ,-35.28633667,150.4825883,Ardenna,Southern Shearwaters,https://inaturalist-open-data.s3.amazonaws.com/photos/247803286/medium.jpg,Y
145247511,28/12/2022,,-31.62418611,152.8344722,Ardenna,Southern Shearwaters,https://inaturalist-open-data.s3.amazonaws.com/photos/249471171/medium.jpeg,Y
145648777,02/01/2023,,-32.68065278,152.1856806,Ardenna pacifica,Wedge-tailed Shearwater,https://static.inaturalist.org/photos/250225732/medium.jpeg,Y
146022884,14/05/2022,,-33.742176,151.317523,Ardenna,Southern Shearwaters,https://inaturalist-open-data.s3.amazonaws.com/photos/250954274/medium.jpeg,Y
147503987,28/01/2023,,-33.17702167,151.6295917,Ardenna tenuirostris,Short-tailed Shearwater,https://inaturalist-open-data.s3.amazonaws.com/photos/253827773/medium.jpg,Y
148739616,16/01/2012,"Birdie Beach.

Not sure about this ID.",-33.2044,151.6069,Ardenna tenuirostris,Short-tailed Shearwater,https://inaturalist-open-data.s3.amazonaws.com/photos/256195291/medium.jpg,Y
160690186,23/02/2023,"I think, but could be wrong. Happy to be corrected.",-34.04129444,151.1644333,Ardenna,Southern Shearwaters,https://static.inaturalist.org/photos/277695488/medium.jpeg,Y
187224399,17/01/2023,,-33.741188,151.315868,Ardenna,Southern Shearwaters,https://inaturalist-open-data.s3.amazonaws.com/photos/327370599/medium.jpeg,Y
